Scheme_Name,Sheme_link,Summary
,,
Didi Ke Bolo,https://sarkariyojana.com/wb-didi-ke-bolo-portal-registration-contact/,"West Bengal Didi Ke Bolo Campaign online registration / application form available at didikebolo.com, apply online to connect to CM Mamata Banerjee directly & to resolve your concerns and grievances"
Samudra Sathi Scheme,https://sarkariyojana.com/samudra-sathi-scheme/,"West Bengal Samudra Sathi Scheme - know how to apply for ₹5000 per month
during annual fishing ban period, documents required and eligibility"
Aikyashree Scholarship scheme,https://sarkariyojana.com/wb-aikyashree-minority-scholarship-scheme/,"WB Aikyashree Minority Scholarship Scheme 2024 Online Registration / Application form at wbmdfc.org, apply online for Aikyashree scholarship, track status, check types of scholarship - pre-matric, post matric & merit cum means, eligibility, rates of scholarship, conditions & selection procedure"
Bina Mulya Samajik Suraksha Yojana,https://sarkariyojana.com/bina-mulya-samajik-suraksha-yojana-west-bengal/,"West Bengal govt. invites WB Bina Mulya Samajik Suraksha Yojana 2024 online
registration form at bmssy.wblabour.gov.in, apply to get social security at no
premium amount, search your details in BM-SSY List of beneficiaries, 7.5 crore
people to be benefited from free social security scheme, check complete details
here"
Karma Sathi Prakalpa Scheme,https://sarkariyojana.com/karma-sathi-prakalpa-scheme/,"West Bengal govt. invites WB Karma Sathi Prakalpa Scheme 2024 registration / application form, unemployed apply online to get Rs. 2 lakh loan, 1 lakh jobless youths to benefit every year for employment generation projects, Rs. 500 crore sanctioned for this major self employment scheme to create job opportunities"
Manabik Prakalpa Scheme,https://sarkariyojana.com/manabik-prakalpa-scheme/,"Manabik Prakalpa Scheme application form, guidelines, PDF available at malda.gov.in to provide Rs. 1000 per month as pension to persons with disabilities (PWDs) under handicapped pension scheme in West Bengal, check Manobik Scheme eligibility, concerned officers in the downloaded PDF"
Chokher Alo Scheme,https://sarkariyojana.com/chokher-alo-scheme/,"WB Chokher Alo Scheme 2024, free cataract surgery operations / spectacles to Elderly people, eyes for all by 2025, complete eye treatment free of cost to senior citizens, check details here"
West Bengal Online Marriage Registration at MARREG Portal,https://sarkariyojana.com/west-bengal-online-marriage-registration-couples/,"Couples Application Form (bride / groom) for West Bengal Online Marriage Registration 2024 at rgmwb.gov.in, download wedding register sample certificate application PDF instantly, check rules, documents list to apply"
Swasthya Sathi Scheme,https://sarkariyojana.com/swasthya-sathi-card/,"WB Swasthya Sathi Form (A, B, C, D) PDF download at swasthyasathi.gov.in, apply Online for SS Card, check hospitals list, package, login to find your name in beneficiary list 2024, also check hospital reg. status, make URN verification, complete details available"
Imam Bhata Yojana,https://sarkariyojana.com/imam-bhata-yojana-form-west-bengal/,"WB Imam Bhata Yojana Application Form 2024 PDF download at malda.gov.in or auqafboardwb.org portal, fill application form for new Imams / Muazzins in West Bengal"
Sabooj Sathi Scheme,https://sarkariyojana.com/sabooj-sathi-scheme/,"WB Sabooj Sathi Scheme 2024 to provide 20 Lakh bicycles to class 9th to 12th students, make student login, file grievance, track bi-cycle distribution status at Sabuj Sathi official website wbsaboojsathi.gov.in, check complete details here"
Yuvashree Arpan Scheme,https://sarkariyojana.com/yuvashree-arpan-yojana/,"West Bengal Yuvashree Arpan Scheme 2024 for employment generation launched by CM Mamata Banerjee, youths can apply online, check eligibility & details"
